epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9847,0.55292,0.81642,0.88944,0.98869,1,0.995,0.88957,0.4785,0.32285,0.83206,0.000659933,0.000659933,0.000659933
2,72.1729,0.55682,0.38763,0.87944,0.99937,1,0.995,0.87187,0.53634,0.3223,0.8468,0.00130471,0.00130471,0.00130471
3,105.509,0.57158,0.39113,0.88003,0.99954,1,0.995,0.9015,0.455,0.30543,0.81654,0.00192749,0.00192749,0.00192749
4,137.336,0.55688,0.36363,0.87463,0.9984,1,0.995,0.90368,0.47789,0.32695,0.82994,0.001901,0.001901,0.001901
5,168.572,0.53938,0.34325,0.8719,0.99934,1,0.995,0.90453,0.45169,0.27684,0.81439,0.001868,0.001868,0.001868
6,199.801,0.53059,0.33091,0.87062,0.99904,1,0.995,0.91091,0.45476,0.29582,0.82467,0.001835,0.001835,0.001835
7,231.283,0.51876,0.31801,0.8632,0.99944,1,0.995,0.90989,0.47855,0.28864,0.82663,0.001802,0.001802,0.001802
8,263.492,0.50737,0.31512,0.86044,0.99961,1,0.995,0.91422,0.44644,0.26245,0.81654,0.001769,0.001769,0.001769
9,296.6,0.49296,0.29907,0.85705,0.99958,1,0.995,0.91961,0.4211,0.26272,0.80733,0.001736,0.001736,0.001736
10,327.528,0.48639,0.29444,0.85346,0.99961,1,0.995,0.92374,0.41639,0.21847,0.80364,0.001703,0.001703,0.001703
11,358.92,0.4866,0.289,0.85493,0.99692,1,0.995,0.90603,0.43662,0.24214,0.81273,0.00167,0.00167,0.00167
12,391.096,0.49485,0.29461,0.85857,0.99967,1,0.995,0.9269,0.44032,0.25651,0.81439,0.001637,0.001637,0.001637
13,423.617,0.47844,0.28026,0.85215,0.99968,1,0.995,0.92365,0.43142,0.22381,0.81106,0.001604,0.001604,0.001604
14,454.682,0.48883,0.28556,0.85704,0.99835,1,0.995,0.91788,0.44409,0.24595,0.81477,0.001571,0.001571,0.001571
15,486.419,0.47584,0.28542,0.85374,0.99968,1,0.995,0.93001,0.42473,0.24995,0.80757,0.001538,0.001538,0.001538
16,519.826,0.47453,0.2773,0.85099,0.99967,1,0.995,0.91921,0.43309,0.22983,0.80652,0.001505,0.001505,0.001505
17,551.597,0.46469,0.27187,0.84944,0.99967,1,0.995,0.93204,0.40922,0.21356,0.80189,0.001472,0.001472,0.001472
18,582.88,0.47261,0.27645,0.85354,0.99966,1,0.995,0.92458,0.42346,0.21748,0.80708,0.001439,0.001439,0.001439
19,614.404,0.46862,0.27174,0.84562,0.99967,1,0.995,0.92446,0.43149,0.21679,0.81024,0.001406,0.001406,0.001406
20,645.706,0.45605,0.26461,0.8401,0.99955,1,0.995,0.92591,0.41753,0.21516,0.80599,0.001373,0.001373,0.001373
21,677.076,0.45165,0.26266,0.84993,0.99962,1,0.995,0.92237,0.41627,0.22992,0.80529,0.00134,0.00134,0.00134
22,709.834,0.46923,0.26549,0.85252,0.99958,1,0.995,0.92327,0.39724,0.20829,0.79851,0.001307,0.001307,0.001307
23,743.118,0.45309,0.25602,0.84617,0.99945,1,0.995,0.92929,0.40932,0.21183,0.8068,0.001274,0.001274,0.001274
24,774.562,0.44205,0.25324,0.84359,0.99927,1,0.995,0.92577,0.40768,0.211,0.8004,0.001241,0.001241,0.001241
25,806.578,0.45149,0.25314,0.84812,0.99963,1,0.995,0.93042,0.38887,0.20211,0.79867,0.001208,0.001208,0.001208
26,838.402,0.43951,0.2458,0.84401,0.99949,1,0.995,0.92904,0.40995,0.20541,0.80446,0.001175,0.001175,0.001175
27,869.899,0.42995,0.24287,0.84616,0.99968,1,0.995,0.93326,0.3989,0.1955,0.79783,0.001142,0.001142,0.001142
28,902.209,0.43592,0.24067,0.84161,0.99968,1,0.995,0.93307,0.39955,0.19784,0.79872,0.001109,0.001109,0.001109
29,935.767,0.43625,0.24188,0.84671,0.99967,1,0.995,0.93583,0.38704,0.19719,0.79528,0.001076,0.001076,0.001076
30,967.492,0.43946,0.24366,0.84409,0.99957,1,0.995,0.92322,0.39677,0.19915,0.79829,0.001043,0.001043,0.001043
31,998.951,0.42458,0.23477,0.84102,0.99967,1,0.995,0.93033,0.40135,0.21255,0.7992,0.00101,0.00101,0.00101
32,1030.96,0.43544,0.23609,0.84186,0.9995,1,0.995,0.92372,0.4022,0.19745,0.79864,0.000977,0.000977,0.000977
33,1062.91,0.42345,0.23086,0.83974,0.99965,1,0.995,0.93208,0.39149,0.18895,0.79671,0.000944,0.000944,0.000944
